GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US06073020308,06073020308,"Census Tract 203.08, San Diego County, California",38.6,3.6,36.7,5.1,40.0,3.1
1400000US06073020309,06073020309,"Census Tract 203.09, San Diego County, California",30.8,2.1,31.1,2.4,30.6,3.7
1400000US06073020401,06073020401,"Census Tract 204.01, San Diego County, California",50.9,4.8,46.1,5.2,53.9,3.7
1400000US06073020403,06073020403,"Census Tract 204.03, San Diego County, California",36.0,5.1,35.8,5.3,37.1,8.6
1400000US06073020404,06073020404,"Census Tract 204.04, San Diego County, California",32.9,2.1,33.1,2.2,32.3,3.8
1400000US06073020405,06073020405,"Census Tract 204.05, San Diego County, California",49.9,2.5,49.4,2.9,50.3,2.8
1400000US06073020500,06073020500,"Census Tract 205, San Diego County, California",30.6,1.9,28.7,3.5,31.9,4.1
1400000US06073020601,06073020601,"Census Tract 206.01, San Diego County, California",25.7,2.2,25.6,2.7,25.8,5.2
1400000US06073020602,06073020602,"Census Tract 206.02, San Diego County, California",31.4,2.4,33.3,3.4,29.7,2.1
1400000US06073020705,06073020705,"Census Tract 207.05, San Diego County, California",36.8,2.6,36.6,3.1,37.3,4.7
1400000US06073020706,06073020706,"Census Tract 207.06, San Diego County, California",44.6,3.6,44.0,6.5,47.0,5.4
1400000US06073020707,06073020707,"Census Tract 207.07, San Diego County, California",29.6,2.5,31.0,3.9,27.7,4.6
1400000US06073020708,06073020708,"Census Tract 207.08, San Diego County, California",38.1,2.5,36.8,6.5,38.9,3.9
1400000US06073020709,06073020709,"Census Tract 207.09, San Diego County, California",37.0,3.0,37.7,4.8,36.5,3.3
1400000US06073020710,06073020710,"Census Tract 207.10, San Diego County, California",48.3,2.7,49.8,6.5,47.9,3.2
1400000US06073020801,06073020801,"Census Tract 208.01, San Diego County, California",48.0,3.3,47.8,4.9,48.2,3.1
1400000US06073020805,06073020805,"Census Tract 208.05, San Diego County, California",34.2,8.4,27.1,2.3,40.4,8.2
